V	DZ1	C1	Fn1	DZ2	C2	Fn2
-1.98958	0.2783	-4.43624E-11	9.17924E-11	0.7783	-1.57188E-11	3.18857E-11
-1.98942	0.2776	-4.43686E-11	9.18136E-11	0.7776	-1.57211E-11	3.19089E-11
-1.98925	0.2776	-4.43813E-11	9.1906E-11	0.7776	-1.57235E-11	3.19321E-11
-1.98908	0.2769	-4.43875E-11	9.19279E-11	0.7769	-1.57259E-11	3.19554E-11
-1.98892	0.2769	-4.44001E-11	9.20194E-11	0.7769	-1.57283E-11	3.19788E-11
-1.98875	0.2762	-4.44063E-11	9.20418E-11	0.7762	-1.57307E-11	3.20022E-11
-1.98858	0.2762	-4.44188E-11	9.21325E-11	0.7762	-1.57332E-11	3.20257E-11
-1.98842	0.2755	-4.4425E-11	9.21555E-11	0.7755	-1.57356E-11	3.20492E-11
-1.98825	0.2755	-4.44374E-11	9.22454E-11	0.7755	-1.57381E-11	3.20728E-11
-1.98808	0.2748	-4.44437E-11	9.22689E-11	0.7748	-1.57405E-11	3.20964E-11
-1.98792	0.2748	-4.4456E-11	9.2359E-11	0.7748	-1.5743E-11	3.21201E-11
-1.98775	0.2741	-4.44623E-11	9.23831E-11	0.7741	-1.57454E-11	3.21439E-11
-1.98758	0.2741	-4.44745E-11	9.24735E-11	0.7741	-1.57479E-11	3.21676E-11
-1.98742	0.2734	-4.44808E-11	9.24984E-11	0.7734	-1.57504E-11	3.21915E-11
-1.98725	0.2734	-4.44929E-11	9.25889E-11	0.7734	-1.57529E-11	3.22154E-11
-1.98708	0.2727	-4.44992E-11	9.26146E-11	0.7727	-1.57554E-11	3.22394E-11
-1.98692	0.2727	-4.45113E-11	9.27053E-11	0.7727	-1.57579E-11	3.22633E-11
-1.98675	0.272	-4.45175E-11	9.27317E-11	0.772	-1.57604E-11	3.22874E-11
-1.98658	0.272	-4.45295E-11	9.28227E-11	0.772	-1.5763E-11	3.23115E-11
-1.98642	0.2713	-4.45357E-11	9.28498E-11	0.7713	-1.57655E-11	3.23356E-11
-1.98625	0.2713	-4.45477E-11	9.2941E-11	0.7713	-1.57681E-11	3.23598E-11
-1.98608	0.2706	-4.45539E-11	9.29688E-11	0.7706	-1.57706E-11	3.23841E-11
-1.98592	0.2706	-4.45658E-11	9.30603E-11	0.7706	-1.57732E-11	3.24083E-11
-1.98575	0.2699	-4.4572E-11	9.30889E-11	0.7699	-1.57757E-11	3.24327E-11
-1.98558	0.2699	-4.45838E-11	9.31807E-11	0.7699	-1.57783E-11	3.2457E-11
-1.98542	0.2692	-4.45899E-11	9.32101E-11	0.7692	-1.57809E-11	3.24815E-11
-1.98525	0.2692	-4.46018E-11	9.33021E-11	0.7692	-1.57834E-11	3.25059E-11
-1.98508	0.2685	-4.46078E-11	9.33323E-11	0.7685	-1.5786E-11	3.25304E-11
-1.98492	0.2685	-4.46196E-11	9.34245E-11	0.7685	-1.57886E-11	3.2555E-11
-1.98475	0.2678	-4.46255E-11	9.34555E-11	0.7678	-1.57912E-11	3.25796E-11
-1.98458	0.2678	-4.46373E-11	9.35477E-11	0.7678	-1.57938E-11	3.26042E-11
-1.98442	0.2671	-4.46432E-11	9.35794E-11	0.7671	-1.57964E-11	3.26289E-11
-1.98425	0.2671	-4.4655E-11	9.36717E-11	0.7671	-1.5799E-11	3.26536E-11
-1.98408	0.2664	-4.46608E-11	9.37044E-11	0.7664	-1.58017E-11	3.26783E-11
-1.98392	0.2664	-4.46725E-11	9.37967E-11	0.7664	-1.58043E-11	3.27031E-11
-1.98375	0.2657	-4.46782E-11	9.38305E-11	0.7657	-1.58069E-11	3.2728E-11
-1.98358	0.2657	-4.46899E-11	9.39227E-11	0.7657	-1.58095E-11	3.27528E-11
-1.98342	0.265	-4.46956E-11	9.39575E-11	0.765	-1.58122E-11	3.27777E-11
-1.98325	0.265	-4.47174E-11	9.41437E-11	0.765	-1.58148E-11	3.28027E-11
-1.98308	0.2643	-4.47281E-11	9.42198E-11	0.7643	-1.58175E-11	3.28277E-11
-1.98292	0.2643	-4.47514E-11	9.43852E-11	0.7643	-1.58201E-11	3.28526E-11
-1.98275	0.2636	-4.4762E-11	9.44621E-11	0.7636	-1.58228E-11	3.28777E-11
-1.98258	0.2636	-4.47854E-11	9.46277E-11	0.7636	-1.58254E-11	3.29028E-11
